la_name,region_name,school_phase,nc_year_admission,admission_numbers,total_offers,used_capacity_percent
Knowsley,North West,Secondary,7,14600,19042.0,130.42465753424656
Lewisham,Inner London,Secondary,7,27147,31350.0,115.48237374295502
Merton,Outer London,Secondary,7,20157,23199.0,115.0915314778985
Reading,South East,Secondary,7,17435,19713.0,113.06567249784916
Ealing,Outer London,Secondary,7,39324,43078.0,109.54633302817618
Greenwich,Outer London,Secondary,7,31400,33997.0,108.27070063694268
Harrow,Outer London,Secondary,7,28604,30865.0,107.90448888267375
Middlesbrough,North East,Secondary,7,18805,20083.0,106.79606487636266
Stoke-on-Trent,West Midlands,Secondary,7,32568,34441.0,105.75104396954065
Leicester,East Midlands,Secondary,7,46234,48826.0,105.60626378855389
"Bristol, City of",South West,Secondary,7,46023,48578.0,105.55157204006693
Croydon,Outer London,Secondary,7,46488,48718.0,104.79693684391671
Thurrock,East of England,Secondary,7,24169,25225.0,104.36923331540402
Brent,Outer London,Secondary,7,37275,38505.0,103.29979879275655
Enfield,Outer London,Secondary,7,45965,47375.0,103.06755139780267
Birmingham,West Midlands,Secondary,7,157052,160743.0,102.35017701143569
Salford,North West,Secondary,7,28128,28761.0,102.25042662116041
Sheffield,Yorkshire and The Humber,Secondary,7,65693,67097.0,102.13721401062519
Wandsworth,Inner London,Secondary,7,24044,24546.0,102.08783896190319
Swindon,South West,Secondary,7,29072,29571.0,101.7164281783159
Hounslow,Outer London,Secondary,7,33666,34224.0,101.65745856353593
Bradford,Yorkshire and The Humber,Secondary,7,82202,83562.0,101.6544609620204
Blackpool,North West,Secondary,7,16108,16371.0,101.63272907871865
Nottingham,East Midlands,Secondary,7,36311,36835.0,101.44308887114097
"Kingston upon Hull, City of",Yorkshire and The Humber,Secondary,7,33630,33885.0,100.75825156110616
Sutton,Outer London,Primary,R,28207,28355.0,100.52469245222817
Stockport,North West,Secondary,7,35794,35411.0,98.92998826618987
Manchester,North West,Secondary,7,70119,69336.0,98.88332691567193
Kirklees,Yorkshire and The Humber,Secondary,7,54495,53605.0,98.3668226442793
Surrey,South East,Secondary,7,133011,130826.0,98.35727872130876
Milton Keynes,South East,Secondary,7,39603,38948.0,98.34608489255865
Rochdale,North West,Secondary,7,31843,31313.0,98.33558395879786
Lambeth,Inner London,Secondary,7,28565,28001.0,98.02555575004376
Hounslow,Outer London,Primary,R,38057,37176.0,97.68505137031295
Merton,Outer London,Primary,R,28084,27382.0,97.50035607463325
